CREATED_AT_TIMESTAMP,USD_CALCULATED_NET_REVENUE
2023-07-12T22:41:50Z,107.8500000000
2023-07-12T22:54:07Z,32.2000000000
2023-07-12T23:02:58Z,85.9800000000
2023-07-12T23:02:58Z,132.2900000000
2023-07-12T23:53:50Z,278.5000000000
2023-07-13T01:31:57Z,173.5900000000
2023-07-13T01:45:00Z,256.2200000000
2023-07-13T02:08:00Z,182.3100000000
2023-07-13T02:08:00Z,42.8900000000
2023-07-13T03:56:58Z,27.2600000000
2023-07-13T03:56:58Z,189.3800000000
2023-07-13T04:02:14Z,5.5600000000
2023-07-13T04:11:28Z,189.3800000000
2023-07-13T04:12:52Z,425.3900000000
2023-07-13T04:20:41Z,219.9900000000
2023-07-13T04:33:08Z,90.2300000000
2023-07-13T04:55:33Z,58.4700000000
2023-07-13T04:55:33Z,89.6600000000
2023-07-13T04:56:14Z,161.6100000000
2023-07-13T05:07:05Z,25.9800000000
2023-07-13T05:29:47Z,0.0000000000
2023-07-13T05:29:47Z,42.8800000000
2023-07-13T05:48:50Z,26.4900000000
2023-07-13T05:48:50Z,47.6900000000
2023-07-13T05:53:45Z,43.2800000000
2023-07-13T05:53:45Z,43.2800000000
2023-07-13T05:53:45Z,303.0800000000
2023-07-13T05:53:45Z,346.3700000000
2023-07-13T05:54:40Z,21.5400000000
2023-07-13T06:17:57Z,223.4800000000
2023-07-13T06:25:53Z,2337.4900000000
2023-07-13T06:35:25Z,137.1500000000
2023-07-13T06:35:25Z,16.9700000000
2023-07-13T06:45:23Z,265.9400000000
2023-07-13T06:45:23Z,161.4700000000
2023-07-13T07:07:27Z,21.7600000000
2023-07-13T07:07:27Z,21.7700000000
2023-07-13T07:07:27Z,10.8800000000
2023-07-13T07:07:27Z,261.2800000000
2023-07-13T07:09:13Z,89.3800000000
2023-07-13T07:33:44Z,21.6400000000
2023-07-13T07:54:56Z,264.5900000000
2023-07-13T07:54:56Z,11.0000000000
2023-07-13T07:54:56Z,22.0500000000
2023-07-13T08:17:44Z,3851.9800000000
2023-07-13T08:39:55Z,39.1000000000
2023-07-13T08:43:08Z,96.7400000000
2023-07-13T09:04:26Z,134.0800000000
2023-07-13T09:10:22Z,43.4700000000
2023-07-13T09:10:22Z,61.3500000000
2023-07-13T09:10:34Z,68.6500000000
2023-07-13T09:18:41Z,0.0000000000
2023-07-13T09:26:31Z,91.4300000000
2023-07-13T09:28:28Z,0.0000000000
2023-07-13T09:32:58Z,15.8900000000
2023-07-13T09:35:06Z,257.0900000000
2023-07-13T09:48:12Z,145.2600000000
2023-07-13T09:52:45Z,64.9400000000
2023-07-13T09:52:45Z,37.8800000000
2023-07-13T10:13:02Z,168.7500000000
2023-07-13T10:19:37Z,21.3900000000
2023-07-13T10:19:37Z,21.3900000000
2023-07-13T10:29:56Z,33.5100000000
2023-07-13T10:37:47Z,165.8400000000
2023-07-13T10:50:34Z,72.6200000000
2023-07-13T11:05:31Z,88.1700000000
2023-07-13T11:05:31Z,62.3600000000
2023-07-13T11:13:12Z,16.7500000000
2023-07-13T11:23:52Z,84.7900000000
2023-07-13T11:33:58Z,6.5200000000
2023-07-13T11:50:28Z,31.7900000000
2023-07-13T11:50:28Z,63.5900000000
2023-07-13T12:05:49Z,74.4300000000
2023-07-13T12:24:16Z,0.0000000000
2023-07-13T12:37:19Z,1925.9900000000
2023-07-13T12:42:23Z,2381.4900000000
2023-07-13T12:53:03Z,31.8500000000
2023-07-13T12:53:03Z,37.1700000000
2023-07-13T12:54:22Z,116.5900000000
2023-07-13T13:10:31Z,0.0000000000
2023-07-13T13:27:21Z,137.1500000000
2023-07-13T13:33:55Z,104.2100000000
2023-07-13T13:35:11Z,91.6200000000
2023-07-13T14:00:16Z,0.0000000000
2023-07-13T14:24:16Z,231.5100000000
2023-07-13T14:24:42Z,80.4500000000
2023-07-13T14:29:48Z,178.6800000000
2023-07-13T14:38:22Z,226.5800000000
2023-07-13T15:19:43Z,137.1500000000
2023-07-13T16:01:15Z,252.9100000000
2023-07-13T16:01:15Z,53.7900000000
2023-07-13T16:01:15Z,667.2600000000
2023-07-13T16:01:15Z,150.6300000000
2023-07-13T16:01:15Z,172.1600000000
2023-07-13T16:01:15Z,430.4800000000
2023-07-13T16:01:15Z,333.6400000000
2023-07-13T16:08:26Z,133.2700000000
2023-07-13T16:31:01Z,137.7900000000
2023-07-13T16:48:17Z,432.3900000000
2023-07-13T17:11:41Z,124.1900000000
2023-07-13T17:34:47Z,106.9800000000
2023-07-13T17:34:47Z,21.3900000000
2023-07-13T17:34:47Z,16.0400000000
2023-07-13T17:34:47Z,10.6900000000
2023-07-13T17:51:27Z,190.7900000000
2023-07-13T17:51:27Z,145.9000000000
2023-07-13T18:18:30Z,140.0600000000
2023-07-13T19:02:21Z,347.9900000000
2023-07-13T19:10:40Z,21.5400000000
2023-07-13T19:11:01Z,0.0000000000
2023-07-13T19:11:34Z,8.5800000000
2023-07-13T19:49:36Z,84.9900000000
2023-07-13T20:15:54Z,0.0000000000
2023-07-13T21:02:06Z,97.6400000000
2023-07-13T21:02:06Z,184.4400000000
2023-07-13T21:02:06Z,32.5400000000
2023-07-13T21:02:11Z,170.1500000000
2023-07-13T22:00:20Z,44.7800000000
2023-07-13T22:12:17Z,21.6300000000
2023-07-13T22:12:45Z,21.8900000000
2023-07-13T22:12:45Z,29.5600000000
2023-07-13T22:21:09Z,261.2400000000
2023-07-13T22:25:25Z,58.7100000000
2023-07-13T22:40:25Z,0.0000000000
2023-07-13T23:09:18Z,21.7600000000
2023-07-13T23:21:33Z,185.1800000000
2023-07-14T00:39:41Z,167.2300000000
2023-07-14T00:44:01Z,5.6000000000
2023-07-14T02:18:09Z,157.1200000000
2023-07-14T02:51:05Z,101.0000000000
2023-07-14T03:21:39Z,196.9100000000
2023-07-14T03:22:40Z,144.4000000000
2023-07-14T04:12:51Z,221.3900000000
2023-07-14T04:38:28Z,32.0900000000
2023-07-14T05:08:03Z,140.2900000000
2023-07-14T05:17:11Z,31.3200000000
2023-07-14T05:38:28Z,21.0500000000
2023-07-14T05:38:28Z,21.0500000000
2023-07-14T06:10:43Z,202.0300000000
2023-07-14T06:16:21Z,32.3800000000
2023-07-14T06:19:52Z,22.3400000000
2023-07-14T06:24:16Z,108.8300000000
2023-07-14T06:54:30Z,180.1900000000
2023-07-14T07:01:06Z,152.0300000000
2023-07-12T12:23:30Z,116.0400000000
2023-07-12T12:23:30Z,21.0900000000
2023-07-12T12:23:30Z,0.0000000000
2023-07-12T12:23:30Z,0.0000000000
2023-07-12T12:25:39Z,141.3600000000
2023-07-12T12:43:04Z,57.2300000000
2023-07-12T12:51:04Z,90.3700000000
2023-07-12T12:59:16Z,0.0000000000
2023-07-12T13:03:29Z,142.0100000000
2023-07-12T13:28:26Z,154.9200000000
2023-07-12T13:42:49Z,60.5700000000
2023-07-12T13:57:24Z,21.1900000000
2023-07-12T13:57:24Z,52.9900000000
2023-07-12T14:28:18Z,74.1900000000
2023-07-12T14:37:23Z,169.9900000000
2023-07-12T14:42:54Z,26.7400000000
2023-07-12T14:53:14Z,137.1400000000
2023-07-12T14:53:19Z,21.1900000000
2023-07-12T14:53:19Z,42.3800000000
2023-07-12T14:53:19Z,42.3800000000
2023-07-12T14:57:25Z,309.7400000000
2023-07-12T15:10:05Z,0.0000000000
2023-07-12T15:13:12Z,163.1100000000
2023-07-12T15:13:12Z,144.6300000000
2023-07-12T15:13:12Z,434.9900000000
2023-07-12T15:14:40Z,43.2900000000
2023-07-12T15:23:47Z,199.4900000000
2023-07-12T15:23:47Z,183.7300000000
2023-07-12T15:23:47Z,136.4900000000
2023-07-12T15:23:47Z,251.9900000000
2023-07-12T15:23:47Z,36.7500000000
2023-07-12T15:37:37Z,167.7200000000
2023-07-12T15:57:11Z,74.9900000000
2023-07-12T16:36:49Z,21.8100000000
2023-07-12T16:37:07Z,127.1900000000
2023-07-12T16:46:40Z,0.0000000000
2023-07-12T16:51:00Z,4.2500000000
2023-07-12T17:03:31Z,108.0000000000
2023-07-12T17:45:20Z,120.0300000000
2023-07-12T17:51:51Z,127.4900000000
2023-07-12T17:52:34Z,296.4900000000
2023-07-12T18:17:50Z,75.7600000000
2023-07-12T18:37:34Z,0.0000000000
2023-07-12T18:44:12Z,299.5800000000
2023-07-12T18:44:12Z,235.3800000000
2023-07-12T18:52:04Z,169.5900000000
2023-07-12T18:52:04Z,423.9900000000
2023-07-12T18:52:04Z,84.7900000000
2023-07-12T18:56:16Z,8.5200000000
2023-07-12T19:13:43Z,116.5900000000
2023-07-12T19:13:59Z,292.2600000000
2023-07-12T19:26:27Z,370.6000000000
2023-07-12T19:47:14Z,0.0000000000
2023-07-12T19:56:38Z,273.6800000000
2023-07-12T19:56:38Z,54.7200000000
2023-07-12T19:56:38Z,10.9400000000
2023-07-12T20:06:41Z,74.8800000000
2023-07-12T20:12:41Z,77.1600000000
2023-07-12T20:12:41Z,27.5600000000
2023-07-12T20:22:24Z,1777.8600000000
2023-07-12T20:29:38Z,1631.2400000000
2023-07-12T20:38:09Z,75.6000000000
2023-07-12T20:49:10Z,250.6700000000
2023-07-12T20:49:10Z,334.2200000000
2023-07-12T20:49:10Z,52.2100000000
2023-07-12T20:49:10Z,20.8800000000
2023-07-12T20:49:10Z,10.4400000000
2023-07-12T20:49:10Z,104.4400000000
2023-07-12T21:07:34Z,8.6400000000
2023-07-12T21:10:01Z,131.9900000000
2023-07-12T21:11:23Z,432.9900000000
2023-07-12T21:51:21Z,233.9200000000
2023-07-12T21:59:10Z,28.6100000000
2023-07-12T21:59:10Z,21.1900000000
2023-07-12T22:39:43Z,1387.7400000000
2023-07-12T22:47:13Z,10.6600000000
2023-07-12T23:04:39Z,342.7000000000
2023-07-12T23:04:39Z,0.0000000000
2023-07-12T23:53:35Z,43.0900000000
2023-07-12T23:54:45Z,128.5300000000
2023-07-12T23:54:45Z,229.5600000000
2023-07-12T23:54:45Z,192.8000000000
2023-07-12T23:54:45Z,0.0000000000
2023-07-12T23:55:09Z,62.1600000000
2023-07-12T23:55:09Z,44.3400000000
2023-07-12T23:55:09Z,62.1600000000
2023-07-13T00:34:27Z,375.3500000000
2023-07-13T02:47:36Z,211.6600000000
2023-07-13T03:59:32Z,92.0000000000
2023-07-13T04:24:20Z,201.3900000000
2023-07-13T04:47:41Z,394.2300000000
2023-07-13T05:32:34Z,161.4700000000
2023-07-13T06:13:48Z,5.5800000000
2023-07-13T06:36:12Z,259.1900000000
2023-07-13T06:52:57Z,43.4200000000
2023-07-13T06:52:57Z,43.4200000000
2023-07-13T06:52:57Z,43.4100000000
2023-07-13T07:05:33Z,201.8200000000
2023-07-13T07:10:30Z,254.3900000000
2023-07-13T07:11:04Z,39.1000000000
2023-07-13T07:20:34Z,128.5000000000
2023-07-13T07:22:03Z,171.1900000000
2023-07-13T07:22:03Z,0.0000000000
2023-07-13T07:26:32Z,185.9300000000
2023-07-13T07:26:32Z,53.1100000000
2023-07-13T07:51:02Z,16.0400000000
2023-07-13T08:00:31Z,0.0000000000
2023-07-13T08:21:17Z,189.9600000000
2023-07-13T08:39:35Z,10.6900000000
2023-07-13T08:41:16Z,321.7100000000
2023-07-13T08:41:16Z,16.6500000000
2023-07-13T08:41:16Z,16.6500000000
2023-07-13T08:48:01Z,64.0400000000
2023-07-13T08:58:27Z,0.0000000000
2023-07-13T09:11:14Z,0.0000000000
2023-07-13T09:33:58Z,4031.2400000000
2023-07-13T09:42:50Z,108.4100000000
2023-07-13T09:56:10Z,0.0000000000
2023-07-13T09:56:10Z,0.0000000000
2023-07-13T10:10:07Z,677.2300000000
2023-07-13T10:10:07Z,204.2500000000
2023-07-13T10:10:07Z,317.1100000000
2023-07-13T10:10:07Z,311.7400000000
2023-07-13T10:10:07Z,257.9900000000
